Status,Year,Month,Day,Name,AltName1,AltName2,AltName3,VictimsRace,VictimsSex,VictimsAge,LynchCounty,LynchState,FIPSLynch,MobCounty,MobState,FIPSMob,CompositionofMob,MethodofDeath,Accusation,Source,ProblemFlag,lynchdate,placehold,vicnum,strvicnum,uniqueid
Lynching,1877,8,4,William T. Story,Wm. Story,,,White,Male,,Pickens,AL,1107,Pickens,AL,1107,Black,Shot,Hunting a black man accused of killing a white man,"Galveston (TX) Daily News 8/10/1877, p. 1 (NewspaperArchive.com)
Columbus (GA) Sunday Enquirer 8/12/1877, p. 2 (Columbus Historic Newspaper)
New Orleans (LA) Times-Picayune 10/9/1877, p. 7 (GenealogyBank.com)",,18770804,AL18770804,1,01,AL1877080401
Lynching,1877,8,4,Thomas C. Kilpatrick,Thos. Kilpatrick,,,White,Male,,Pickens,AL,1107,Pickens,AL,1107,Black,Shot,Hunting a black man accused of killing a white man,"Galveston (TX) Daily News 8/10/1877, p. 1 (NewspaperArchive.com)
Columbus (GA) Sunday Enquirer 8/12/1877, p. 2 (Columbus Historic Newspaper)
New Orleans (LA) Times-Picayune 10/9/1877, p. 7 (GenealogyBank.com)",,18770804,AL18770804,2,02,AL1877080402
Lynching,1877,9,26,Nathaniel T. Pierce,Nat. Pierce,Nat. Blerce,,White,Male,,Pickens,AL,1107,Pickens,AL,1107,Masked,Hanged,Implicated in the murder of two white men,"Galveston (TX) Daily News 9/28/1877, p. 1 (NewspaperArchive.com)
Columbus (GA) Ledger-Enquirer 9/28/1877, p. 1 (GenealogyBank.com)
Macon (GA) Weekly Telegraph 9/28/1877, p. 1 (GenealogyBank.com)
Elyria (OH) Constitution 10/4/1877, p. 1 (Ancestry.com)
New Orleans (LA) Times-Picayune 10/9/1877, p. 7 (GenealogyBank.com)",,18770926,AL18770926,1,01,AL1877092601
Lynching,1877,11,2,Owen Wright,,,,Black,Male,,Russell,AL,1113,Russell,AL,1113,,Hanged,Outrage on a married white woman,"Syracuse (NY) Standard 11/3/1877, p. 1 (NewspaperArchive.com)
Columbus (GA) Daily Enquirer 11/3/1877, p. 4 (Columbus Historic Newspapers)
Wheeling (WV) Register 11/3/1877, p. 1 (GenealogyBank.com)
New Orleans (LA) Times Picayune 11/3/1877, p. 8 (GenealogyBank.com)
Columbus (GA) Daily Enquirer-Sun 11/6/1877, p. 2, 4 (Columbus Historic Newspapers)
Port Jervis (NY) Evening Gazette 11/13/1877, p. 1 (NewspaperArchive.com)",,18771102,AL18771102,1,01,AL1877110201
Lynching,1877,12,8,Mark Woodford,Mark Woodard,Mark Woodward,,Black,Male,,Clarke,AL,1025,Clarke,AL,1025,White and black,Burned,Ravishing and killing a married white woman and her 17 year-old daughter and then killing her two sons,"Columbus (GA) Daily Enquirer-Sun 12/14/1877, p. 3 (Columbus Historic Newspapers; GenealogyBank.com)
Macon (GA) Telegraph 12/19/1877, p. 3 (GenealogyBank.com)
Savannah (GA) Morning News 12/20/1877, p. 1 (Savannah Historic Newspapers)
Jackson (MI) Citizen Patriot 12/29/1877, p. 3 (GenealogyBank.com)",,18771208,AL18771208,1,01,AL1877120801
Lynching,1878,4,17,Mike White,,,,White,Male,37,Madison,AL,1089,Madison,AL,1089,Prominent citizens,Hanged,"Murder of a white man, a butcher","Atlanta (GA) Constitution 4/17/1878, p. 1 (Ancestry.com)    
Huntsville Independent 4/18/1878, p. 1 (cited in Simpson)
Huntsville Weekly Democrat 4/18/1878 (cited in Simpson)
Atlanta (GA) Constitution 4/19/1878, p. 1 (Ancestry.com has this as 4/18/1878, p. 5)
Elyria (OH) Constitution 4/25/1878, p. 1 (Ancestry.com)
Cullman Southern Immigrant 4/25/1878, p. 6 (NewspaperArchive.com)
Atlanta (GA) Daily Constitution 1/1/1879, p. 1 (Ancestry.com)",,18780417,AL18780417,1,01,AL1878041701
Lynching,1878,4,17,Eph Hall,Ephraim Hall,Unnamed,,Black,Male,55,Madison,AL,1089,Madison,AL,1089,,Hanged,"Murder of a white man, a butcher","Atlanta (GA) Constitution 4/17/1878, p. 1 (Ancestry.com)    
Huntsville Independent 4/18/1878, p. 1 (cited in Simpson)
Huntsville Weekly Democrat 4/18/1878 (cited in Simpson)
Atlanta (GA) Constitution 4/19/1878, p. 1 (Ancestry.com has this as 4/18/1878, p. 5)
Elyria (OH) Constitution 4/25/1878, p. 1 (Ancestry.com)
Cullman Southern Immigrant 4/25/1878, p. 6 (NewspaperArchive.com)
Atlanta (GA) Daily Constitution 1/1/1879, p. 1 (Ancestry.com)",,18780417,AL18780417,2,02,AL1878041702
Lynching,1878,4,17,Ben Evans,,,,Black,Male,40,Madison,AL,1089,Madison,AL,1089,,Hanged,"Murder of a white man, a butcher","Atlanta (GA) Constitution 4/17/1878, p. 1 (Ancestry.com)    
Huntsville Independent 4/18/1878, p. 1 (cited in Simpson)
Huntsville Weekly Democrat 4/18/1878 (cited in Simpson)
Atlanta (GA) Constitution 4/19/1878, p. 1 (Ancestry.com has this as 4/18/1878, p. 5)
Elyria (OH) Constitution 4/25/1878, p. 1 (Ancestry.com)
Cullman Southern Immigrant 4/25/1878, p. 6 (NewspaperArchive.com)
Atlanta (GA) Daily Constitution 1/1/1879, p. 1 (Ancestry.com)",,18780417,AL18780417,3,03,AL1878041703
Lynching,1878,9,21,Daniel McBride,,,,Black,Male,37,Limestone,AL,1083,Limestone,AL,1083,,Hanged - strangulation,"Murder of a white man, a tramp","Philadelphia (PA) Inquirer 9/23/1878, p. 4 (GenealogyBank.com)
New York (NY) Herald 9/23/1878, p. 5 (GenealogyBank.com)
St. Louis (MO) Globe-Democrat 9/23/1878, p. 1 (e-bay clipping
Marion (OH) Daily Star 9/24/1878, p. 1 (Ancestry.com)
Jackson (MI) Citizen Patriot 9/26/1878, p. 1 (GenealogyBank.com)
Hornellsville (NY) Tribune 9/27/1878, p. 2 (NewspaperArchive.com)",,18780921,AL18780921,1,01,AL1878092101
Lynching,1879,6,15,Dave Benson,David Beasod,,,Black,Male,,St. Clair,AL,1115,St. Clair,AL,1115,,Hanged,Outraged a married white woman and attempted to ravish two white girls,"Atlanta (GA) Daily Constitution 6/17/1879, p. 1 (Ancestry.com; NewspaperArchive.com)
Columbus (GA) Daily Enquirer 6/21/1879, p. 3 (Columbus Historic Newspapers)",,18790615,AL18790615,1,01,AL1879061501
